# id|profile|required|depends_on|description
docker-engine|pre-push|true|-|Docker daemon is reachable
web-stack|pre-push|true|docker-engine|Current worktree web container is healthy and mounts this tree
web-http|pre-push|true|web-stack|Current worktree web endpoint responds
migration-current|pre-push|true|docker-engine|Pending migrations pass preflight and apply
smoke|pre-push|true|web-http,migration-current|Required smoke suite executes successfully
schedule-unit|pre-push|false|-|Pure scheduler health and schedule unit tests
docker-engine|central|true|-|Docker daemon is reachable
web-stack|central|true|docker-engine|Validation web container is healthy and mounts this tree
web-http|central|true|web-stack|Validation web endpoint responds
migration-current|central|true|docker-engine|Pending migrations pass preflight and apply
smoke|central|true|web-http,migration-current|Required smoke suite executes successfully
schedule-unit|central|true|-|Pure scheduler health and schedule unit tests
migration-rehearsal|central|true|docker-engine|Migration preflight, rerun, and history-gap recovery rehearsal
backup-restore|central|true|docker-engine|Backup restore accepts a valid dump and rejects a corrupt dump
